Card File Name,Card number,Teaching,Activity,content sections
TAoSH-1-8,1,"If you suck at visualisation, experiment with me. Over the years, I have found 25% of people say they can’t visualise. In fact, 24% can – they just don’t realise they are visualising. The other 1% have a medical condition which prevents them from visualising, but they can feel. Feeling is the next best way to communicate with your body.


","Exercise: Access Memory
Sit in your lounge room. Now describe your bedroom. Write down all the things you can recall about your room. For example, you may have a chest of drawers, a walk-in robe, an ensuite, a feather doona, glass doors onto a balcony and a pot plant in the right hand corner of the room.

If you don’t look through the door of your bedroom, how can you write down so many details about your room? 

Well the answer is you remember what it looks like. You access the memory faculty of your mind and you either just know, or you literally see a vision of your room and you are able to recall it similar to when you watch a movie. This is the same faculty you need to use for creative and spontaneous visualisation.

With spontaneous visualisation you won’t have a memory you can access. It just runs like a “new movie” in this faculty. With creative visualisation you can either change a memory or alter the “new movie”. 

For example, let’s go back to your bedroom; you could change the doona cover to be black and red (something that you’ve never seen before). You can creatively change your bedroom in this dimension. The creative aspect is when you decide you will change the doona cover and the spontaneous aspect is when the cover pops into your vision and it is something you’ve never seen before. ",
TAoSH-2-8,2,,"Exercise: Balance Emotions With the Breath
• To perform this simple technique it’s best to be sitting comfortably either in a meditation pose or on a chair with your feet flat on the floor.

• Become conscious of your breath. Focus on a point at the front of your nose and your top lip.

• While doing this:-
- to the count of 10, breathe steadily in filling your entire lungs; and
- to the count of 10, steadily release the breath all the way out, completely emptying your lungs

• Continue this process for 5 minutes.

• This simple breathing technique will balance your emotions. With practice, you will manage out of control emotional outbursts calmly, and effectively deal with day to day challenges.

• By practicing this technique each day for five minutes you will transform every area of your life for the better.",
TAoSH-3-8,3,"Bowel (Metaphysical Body Language)
We have the small intestine (bowel) and the large intestine (bowel).

The small intestine supports us nutritionally and the large bowel removes the waste. It depends on where the problem is in the bowel as to what message you are being given.

A problem in the small bowel is a sign your soul is not receiving the nutrition it needs – this could be because you are literally not feeding your soul, or you can’t absorb or understand what you are feeding it.

A problem in the large bowel is a sign of holding on (in the case of constipation) and with diarrhea which can be swift and sudden indicates not absorbing all the information needed.","Exercise: Bowel Healing Elixir
• A great healing elixir for the bowel is to imagine a royal blue ball of light (about the size of a golf ball), put it into your mouth and swallow it.

• Imagine you are made of glass and watch the ball of light slide down your oesophagus, whiz around your stomach, down into the duodenum, into the small intestine (looks like a bunch of hairpin bends in a road), up the large intestine on the right, over the top of the abdomen and down the left side, through the colon and out the anus.

Do this from the perspective of being associated with your body. What this means is you are observing the blue ball of light from inside your body, not witnessing it in your holographic body in your screen of mind.

The secret to getting the best out of this exercise is when an outside thought comes (ie., other than travelling from mouth to anus) go back to the beginning and start again. With practice this exercise will help you have control of the tension in your bowel. I use it to manage IBS spasms. It also helps you have control over peristalsis which helps with reducing constipation. It also helps to move diarrhea through your gut quickly.",
TAoSH-4-8,4,"Meditation
This meditation can help to rejuvenate and refill your inner reservoir. As you become accustomed to the process you can increase the length of time you meditate. Although, don’t turn it into just another task to do, as you will lose the magic of the process.","Exercise: Breath meditation
• Simply focus on your breath in and your breath out.

• Observe how your nostrils feel as the air is drawn gently through your nose and down the back of your throat into your lungs. As your breath gently flows out of your lungs, up the back of your throat and out through your nose become aware of the hairs on your top lip. What happens when you breathe out?

• Repeat for 5 minutes.",
TAoSH-5-8,5,"Meditation
Meditation is a great discipline to have. If you are not doing so already start the habit of meditating regularly. Seasoned meditators will meditate for an hour or more per day. However, if you are just starting out this may be too much for you.","Exercise: Candle meditation
• Focus your attention on a candle flame. For this meditation you need to be sitting and remain open-eyed. However, if your eyes spontaneously close, don’t force them to remain open.

• If your mind wanders – that’s fine – bring it back to the candle when you observe it has become distracted. Once again, focus on the flame.

• Start doing this meditation for 5 minutes and increase the time as you feel moved to.",
TAoSH-6-8,6,,"Exercise: Cleansing Your Home
You will need a white house candle – just the normal candle that you keep in the cupboard for a power blackout is best.

Wrap about 15cm (6in) of alfoil around the bottom of the candle, creating an alfoil cup to catch any dripping wax. Light your candle. You will do this ritual in your entire house, going into every corner of every room and over the furniture.

With medium speed, raise the candle up towards the ceiling as far as your arm will go and back down again. As you do this, say this mantra:

“I cleanse this room in God’s light.”

If black smoke comes off the candle repeat the process in this particular spot until no black smoke comes off the candle. The black smoke leaves evidence on the white candle in the form of black or grey wax dripping down the side of the candle.

",
TAoSH-7-8,7,"
","Exercise: Cleansing Your Work Environment
You can use crystals to cleanse your work environment. If you do this, it is important to also cleanse your crystals regularly. 

It has been scientifically proven that having a plant on your desk or close to your work environment will also impact on you in a positive way.

“No matter how token, plants are the ambassadors of friendliness; they enable an ambience that is not controlled, robotic, confined – instead by having nature inside, the impression is created of a calm,
open, homelike experience.

It is not just the aesthetic or psychological impressions that plants make but how plants scientifically put a person at ease that add value to interior plantscaping. Green triggers a response in the sympathetic nervous system to relieve tension in the blood vessels and thus lower the blood pressure, green lowers heart rate and provides an instant feeling of rest and recovery.

Dr. Billy C. Wolverton from the John C. Stennis Space Centre recommends for optimum employee health benefit, placing a plant on one’s desk, or within six to eight cubic feet of where most of the person’s daily activity occurs.”

Source: Interior landscaping in the workplace, benefits to business - Fiann Ó Nualláin

In light of this research, if you work in an office, and don’t have a plant, I recommend you buy one to put on your desk. Do your own experiment. This is Fiann’s list of top 10 plants for the office:

1. Kentia Palm
2. Spathiphyllum spp (peacelily)
3. Chlorophytum spp (spiderplant)
4. Philodendron spp
5. Dracaena spp
6. Ficus spp
7. Scindapsus/Epipremnun
8. Hedra helix (ivy)
9. Syngonium spp
10. Sansevieria spp (snakeplant)",
TAoSH-8-8,8,"What is Creative Visualisation?
“Creative visualisation” is the type of visualisation that occurs when you consciously or actively manipulate, change or deliberately invent what you see in your imagination during meditation or when you ponder something.

With creative visualisation you transform your imagination like an artist changes or enhances a painting.","Exercise: Creative Visualisation
• Imagine you are inside of a shell (it can look like whatever you imagine) and deliberately (use your creative mind) add a bench in the centre of the shell and sit on it.

• As you imagine yourself sitting there, ask your guide to come into your visualisation. 

These added elements are creative visualisation. When the guide arrives, this could be spontaneous as you may not have seen this guide before. If you know what your guide looks like, you can manifest them in this vision and that would be creative visualisation.",
TAoSH-9-8,9,"How do you locate your physical intuition signal?
Observe your body. Become conscious of the subtle things happening in or on your body and around you. Look for a signal that happens regularly. Once you recognise the signal, you’ll know when your intuition is delivering you information.

You can either take note or ignore it – the choice is yours.","Exercise: Discover Your Tangible Sign For Intuition
Some examples of a physical sensation or tangible sign are:

• goosebumps
• the hairs on the back of your neck stand up
• tingling in a certain part of your body
• a sensation in your solar plexus

There are many more that are unique to individuals. Locate your physical sensation if you haven’t done this already.",
TAoSH-10-8,10,,"Exercise: Keep an emotion journal
If you are on a personal or spiritual growth path, at the end of each day take time to reflect. Reflect on your emotions throughout the day and what influenced or triggered them. Reflect on your behaviour and learnings; and this will help you to recognise any patterns you keep doing or give you an opportunity to decide they no longer serve you and stop doing them. 

When reflecting and journalling, sometimes you will discover things about yourself that you don’t like and other times you'll find things you are grateful, proud and in awe of during the process of self-understanding.

Keep a note of everything.",
TAoSH-11-8,11,"How to turn your Empath Gift On and Off
Over recent years, I’ve been hearing more and more people describe their empath ability as a curse. They want to know how to turn it off. 

Humans are like radio receivers as well as radio transmitters and it’s the receiving element that sometimes needs to be tuned out. ","Exercise: Empath Radio Dial
• Take the time to imagine the dial of an old radio. If you are an empath it is likely your dial will be continually roaming and tuning into the closest frequency, giving you no rest and respite from the thoughts and feelings of others.

• Turn the dial to static and lock it in. You can turn it down eg., from 10 to 1, or turn it hard to the left or right and lock it in by pushing the dial into the radio or pulling it out till it clicks. When you want to be empathic release the dial back to free movement and allow it to scan frequencies again.

• I’ve shared the concept here, now you can transform the concept into your version of the “Radio Dial”. The more creative you are the more profound the impact will be on all your bodies.",
TAoSH-12-8,12,"Eyes
The eyes are our seeing faculty. When there is a problem with the eyes, this indicates a blockage with seeing all that is available. Our internal filters can hide vital information from us. Eyes that experience difficulty are a signal for you to look deeper into what you are not seeing.

This is also significant when your inner sight appears to be blocked. Look at the underlying emotions and you will locate where you need to spend some time.

People who are blind or vision impaired can participate and examine this symbolism and contemplate the question – “What is it I am not seeing?” ","Exercise: Eye Balm
• Sit in a peaceful, quiet place.

• Close your eyes and place the palms of your hands over your eyes.

• Imagine coming from your palms is a beautiful, soothing, healing light penetrating into the depths of your eyes and going deeper into your inner third eye.

• Feel your eyes being bathed in this light for 5 minutes.",
