Card File Name,Card number,card details,journalling activity heading,journalling activity,vimeo video,content sections
1-8.png,1,"CLEARING:  I have to be in control
ACTIVATION: I trust in the bigger picture, and accept that I don’t always have to see it fully before I take a step or make a choice.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691209896,
2-8.png,2,"CLEARING: I can’t trust people
ACTIVATION: The right people can be trusted, and I trust I have the wisdom and ability to tell the difference.  I allow them into my life.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691208165,
3-8.png,3,"CLEARING: You have to work hard for money
ACTIVATION: Balance is required to have sustainable income; I easily rest, play, and work as is needed to thrive.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691303051,
4-8.png,4,"CLEARING: There’s only so much to go around
ACTIVATION: There is more than enough for everyone to have what they need.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691299483,
5-8.png,5,"CLEARING: I am an imposter and I don’t belong here
ACTIVATION: I am a powerful creator, and I am worthy of all that I bring to the world. The world needs me to be me.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691207115,
6-8.png,6,"CLEARING: I'm not good enough
ACTIVATION: I am enough, I am good enough, I am perfect as I am. I am better than I could ever realise and the real me is needed.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691211629,
7-8.png,7,"CLEARING: I'm not worthy
ACTIVATION: I am worthy. Who I naturally am, and what I easily bring forth is required right now, I step forward in all my glory and grace.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691212347,
8-8.png,8,"CLEARING: No one cares what I have to say
ACTIVATION: I don’t need to change the whole world, I could share one thing and change one person’s world and that would be enough.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691215199,
9-8.png,9,"CLEARING: Who am I to do this?
ACTIVATION: I am powerful beyond measure, one thought shared, could mean the difference for one person. Who am I not to share it?",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691301086,
10-8.png,10,"CLEARING: It’s hard to start a business
ACTIVATION: I have skills and passion and am open to learning what I don’t know. I take one step at a time and allow it to unfold before me.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691214453,
11-8.png,11,"CLEARING: I should be doing more, I’m not working hard enough
ACTIVATION: Doing nothing is important for creativity to flow. Inspiration drops in during mundane activities.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691211332,
12-8.png,12,"CLEARING: I never finish what I start, so I will never be successful
ACTIVATION: Some things aren’t meant to be finished, they are the stepping stones for new ideas or perspectives, I allow inspiration to flow.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691210587,
13-8.png,13,"CLEARING: It has to be perfect first, i just have to tweak this bit
ACTIVATION: Improvements come from feedback, not my head. I take imperfect action and open myself to sharing the authentic work.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691213699,
14-8.png,14,"CLEARING: I'm not smart enough
ACTIVATION: I am smart. I can’t see my unconscious competence, but other’s see and love my genius and they need what I know.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691211960,
15-8.png,15,"CLEARING: You have to spend money to make money
ACTIVATION: I am discerning about where I spend my money. I only spend when it feels light, not to fill a perceived lack in myself. ",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691302550,
16-8.png,16,"CLEARING: I don’t know where to start, so I panic and don’t do anything
ACTIVATION: I tune into my Spirit Team, and I ask for guidance when I am stuck. I ask questions and allow myself to follow the unfolding.",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691208866,
17-8.png,17,"CLEARING: It’s not safe for people to see the real me. They will judge me.
ACTIVATION: I am a force to be reckoned with, and my people will see the real me and love it. Other’s opinions aren’t mine to own.
",Before Watching The Clearing: ​​​​​​​Journalling Activity,"Use either your physical card deck, or the image below to begin this Clearing experience.

1. Sit and meditate on the Lightcode below, allowing it to unlock any trapped energy related to this clearing topic.

2. Witness any physical sensations you experience or any memories that pop up.

3. Release any judgements you may hold, and simply allow them to flow through you. You don't have to mentally know why or understand them right now.

4. Journal your experience using the following prompts, if you don't already have a process:

- What truth is there in this card for me?

- What emotions do I feel or does it evoke in me?

- What memories or experiences do I remember?

- What stories did I tell myself based on these experiences?

- What behaviours resulted from this story?

- What beliefs do I hold true that I am now ready to let go of?

5. When you feel ready to let this Pattern go, watch the Clearing video below to facilitate a multi-dimensional clearing across all lifetimes and timelines.

6. Over the next month, observe your emotions and behaviours when your Triggers pop up, to Witness your shift.

If you have a coach or mentor, share with them the clearings you do, so they can Witness the shifts in you too. This is a good resource to use in conjunction with any mentoring or coaching you are doing, as it can facilitate the change faster.
",691214803,
